32789	耕	gang1	k	a’ng	陰平	見生
20120	亘	syun1	s	ün	陰平	心全
20121	亙	syun1	s	ün	陰平	心全
22435	垣	wun4	X	oon	陽平	喻門
26707	桓	wun4	X	oon	陽平	喻門
24658	恒	hang4	h	a’ng	陽平	下生
24646	恆	hang4	h	a’ng	陽平	下生
20121	亙	gang2	k	a’ng	陰上	見等
20120	亘	gang2	k	a’ng	陰上	見等
20126	亞	aa3	X	a[r]	陰去	烏亞
20124	亜	aa3	X	a[r]	陰去	烏亞
22538	堊	ok1	X	ok	陰入	烏學
30210	瘂	aa2	X	a[r]	陰上	烏也
21854	啞	aa2	X	a[r]	陰上	烏也
20127	亟	ki3	k’	e	陰去	啟至
20127	亟	gik1	k	ik	陰入	見息
27547	殛	gik1	k	ik	陰入	見息
26997	極	gik6	k	ik	陽入	共息
20128	亠	dau4	t	ow	陽平	大由
20129	亡	mong4	m	ong	陽平	明當
33426	芒	mong4	m	ong	陽平	明當
27730	汒	mong4	m	ong	陽平	明當
24536	忘	mong4	m	ong	陽平	明當
24537	忙	mong4	m	ong	陽平	明當
22916	妄	mong6	m	ong	陽去	明壯
26395	望	mong6	m	ong	陽去	明壯
30450	盲	maang4	m	ang	陽平	明彭
27667	氓	man4	m	a’n	陽平	明申
32915	肓	fong1	f	ong	陰平	非當
20130	亢	kong3	k’	ong	陰去	啟壯
25239	抗	kong3	k’	ong	陰去	啟壯
28821	炕	kong3	k’	ong	陰去	啟壯
26477	杭	hong4	h	ong	陽平	下當
33322	航	hong4	h	ong	陽平	下當
38927	頏	hong4	h	ong	陽平	下當
21549	吭	hong4	h	ong	陽平	下當
29288	牨	gong1	k	ong	陰平	見當
22353	坑	haang1	h	ang	陰平	可彭
20132	交	gaau1	k	aou	陰平	見交
37066	郊	gaau1	k	aou	陰平	見交
34527	蛟	gaau1	k	aou	陰平	見交
20634	傚	haau6	h	aou	陽去	下教
21177	効	haau6	h	aou	陽去	下教
25928	效	haau6	h	aou	陽去	下教
26657	校	haau6	h	aou	陽去	下教
26657	校	gaau3	k	aou	陰去	見教
36611	較	gaau3	k	aou	陰去	見教
29409	狡	gaau2	k	aou	陰上	見卯
32094	絞	gaau2	k	aou	陰上	見卯
30350	皎	gaau2	k	aou	陰上	見卯
40809	齩	ngaau5	ng	aou	陽上	岸卯
21676	咬	ngaau5	ng	aou	陽上	岸卯
20133	亥	hoi6	h	oy	陽去	下代
23401	孩	hoi4	h	oy	陽平	下哀
21683	咳	hoi4	h	oy	陽平	下哀
39405	駭	hoi4	h	oy	陽平	下哀
39405	駭	hoi6	h	oy	陽去	下代
39608	骸	hoi4	h	oy	陽平	下哀
35442	該	goi1	k	oy	陰平	見哀
22419	垓	goi1	k	oy	陰平	見哀
27436	欬	kat1	k’	a’t	陰入	啟不
21051	刻	hak1	h	a’k	陰入	可則
26680	核	hat6	h	a’t	陽入	下不
20134	亦	jik6	y	ik	陽入	由息
24328	弈	jik6	y	ik	陽入	由息
22869	奕	jik6	y	ik	陽入	由息
36321	跡	zik1	ts	ik	陰入	則息
36857	迹	zik1	ts	ik	陰入	則息
13356	㐬	lau4	l	ow	陽平	耒由
27969	流	lau4	l	ow	陽平	耒由
29705	琉	lau4	l	ow	陽平	耒由
30827	硫	lau4	l	ow	陽平	耒由
26066	旒	lau4	l	ow	陽平	耒由
26056	旈	lau4	l	ow	陽平	耒由
26803	梳	sho1	s’	o[r]	陰平	審何
30095	疏	sho1	s’	o[r]	陰平	審何
34092	蔬	sho1	s’	o[r]	陰平	審何
37295	醯	hi1	h	e	陰平	可希
20136	亨	hang1	h	a’ng	陰平	可生
28921	烹	paang1	p’	ang	陰平	篇彭
20139	享	hoeng2	h	eong	陰上	可兩
24775	惇	sheon4	s’	un	陽平	時倫
28147	淳	sheon4	s’	un	陽平	時倫
37255	醇	sheon4	s’	un	陽平	時倫
40329	鶉	sheon4	s’	un	陽平	時倫
35524	諄	zheon1	ch	un	陰平	之倫
26881	椁	gwok1	k	wok	陰入	見國
38815	鞟	gwok1	k	wok	陰入	見國
20140	京	ging1	k	ing	陰平	見丁
