⺤	⺥
𤲯	畫
𤲿	畫
𤲢	畱
𰣍	畸
𤴁	疉
𤴡	疐
𤷒	痺
痪	瘓
𤸄	瘝
痩	瘦
臯	皐
皡	皥
𥁋	盇
𫞰	盈
𥁊	盋
𥁘	盏
𥁫	盏
𭕘	眉
𥄳	眔
真	眞
衆	眾
𥈤	睫
䜭	睿
𥋄	瞟
𥌒	瞽
𭿵	矛
𥑉	砈
𥒐	砉
𮀒	砉
研	硏
𥓓	碑
𥔎	碕
礻	示
鿆	祓
𥙄	祢
𥙊	祭
𥚬	祹
禄	祿
𮂬	离
𥜽	禼
𥜾	禼
秃	禿
䄵	秊
𥝝	秊
税	稅
𥟑	稗
𫞹	空
𥤮	突
𥨤	竂
𥪖	竜
𥬑	筑
筝	箏
𥭼	箓
𥮷	箬
𥲒	築
𥰉	篌
簒	篡
𢲿	篫
𥳤	篴
𥱡	篾
𥲃	簆
箳	簈
簔	簑
𥵐	簝
𬖄	簾
𥶉	籑
籖	籤
𥹣	粣
𥹤	粣
𥺁	粧
𥹭	粱
𥹏	粲
粤	粵
𫒀	粵
𥺛	粺
糹	糸
𬗋	紫
絶	絕
緑	綠
𦂶	綺
緒	緖
縁	緣
𬗟	緬
𬗨	緽
緼	縕
𬗫	縣
𦂵	縦
𦆖	繚
𦅩	繪
纎	纖
𦉍	罌
𦉳	网
芈	羋
羙	美
𫟈	美
𮎪	美
𦍛	羕
𦏁	羲
𮊵	羸
羮	羹
𦐓	翇
翺	翶
𦒳	老
𫰗	耍
䎡	耎
𦕅	聊
𦕓	聓
𬥁	聚
𦗷	聱
𠕎	肉
𮌇	肉
䏍	肙
𦙪	肩
𦙌	胤
𦙍	胤
䏻	能
𦝕	能
𮌛	能
𦛹	胾
脱	脫
𦜉	脾
胼	腁
𦟩	腌
𦚤	腴
腽	膃
𦟾	膒
𦤀	臭
𠒍	臾
𢆍	臿
𦥝	舀
舃	舄
𠢎	舅
𫟋	與
𦾔	舊
舎	舍
舗	舖
䑵	艒
𫇧	芩
𠰥	若
苃	茇
䒮	茕
兹	茲
荆	荊
𦮠	荗
𦯬	荼
𭄳	莇
𦯶	莔
莾	莽
𦮆	菆
葘	菑
𫟏	菟
𦵉	萐
茰	萸
